iter	RMSE
124	2.75788667
125	2.757874859
126	2.757868458
127	2.757829123
128	2.757827193
129	2.757825819
130	2.757823635
131	2.757796056
132	2.757788872
133	2.757787061
134	2.757786828
135	2.757777453
136	2.757679806
137	2.757664047
138	2.757513127
139	2.757481005
140	2.757440329
141	2.75722633
142	2.757211017
143	2.757168328
144	2.75710399
145	2.75710083
146	2.757078065
147	2.757047739
148	2.75702032
149	2.757016956
150	2.757009241
151	2.756953227
152	2.756927631
153	2.756865675
154	2.756858217
155	2.756422759
156	2.756386571
157	2.756179799
158	2.756176826
159	2.756119381
160	2.756104692
161	2.75581892
162	2.75581607
163	2.755697556
164	2.755667475
165	2.755651401
166	2.755468898
167	2.755467456
168	2.755455024
169	2.755359279
170	2.755214812
171	2.755203502
172	2.755182557
173	2.755173485
174	2.755169431
175	2.755164798
176	2.75516457
177	2.755162896
178	2.755161261
179	2.754886105
180	2.754874088
181	2.754868594
182	2.754754913
183	2.754747726
184	2.754746479
185	2.754744742
186	2.754427171
187	2.754392467
188	2.754378673
189	2.754360952
190	2.754346068
191	2.754200743
192	2.754174078
193	2.754139713
194	2.754136343
195	2.754130904
196	2.754102009
197	2.754099837
198	2.754082627
199	2.75405247
200	2.754048879
201	2.753942148
202	2.753923997
203	2.75388309
204	2.753881835
205	2.753881181
206	2.75387233
207	2.753842113
208	2.753745484
209	2.753743251
210	2.753520715
211	2.75349888
212	2.753497003
213	2.753448655
214	2.753320782
215	2.753314249
216	2.753302876
217	2.753301926
218	2.753299831
219	2.75328403
220	2.753250089
221	2.753240367
222	2.753216311
223	2.753214493
224	2.753175878
225	2.753170923
226	2.753170578
227	2.75316994
228	2.753162589
229	2.753162287
230	2.75316188
231	2.753004811
232	2.752985262
233	2.752978312
234	2.752974959
235	2.752974519
236	2.752973762
237	2.752970576
238	2.752969068
239	2.752966916
240	2.752966521
241	2.752955506
242	2.752930433
243	2.752927575
244	2.752607767
245	2.752591298
246	2.752590221
247	2.752586384
248	2.752585627
249	2.752585461
250	2.752563249
251	2.752561127
252	2.752543264
253	2.752539528
254	2.752533512
255	2.752532566
256	2.752532208
257	2.7525198
258	2.752457523
259	2.752452352
260	2.752452209
261	2.752450332
262	2.752447664
263	2.752434004
264	2.752422945
265	2.752387219
266	2.752333356
267	2.752331482
268	2.752320661
269	2.752318486
270	2.752317978
271	2.752317875
272	2.752315909
273	2.752290792
274	2.752139786
275	2.752137868
276	2.752134311
277	2.752133996
278	2.752124063
279	2.752123775
280	2.752122598
281	2.752122408
282	2.75211832
283	2.752118154
284	2.752112422
285	2.752109259
286	2.752108864
287	2.752107444
288	2.752034822
289	2.752028074
290	2.751994853
291	2.751993987
292	2.751989801
293	2.751980456
294	2.751973571
295	2.751973499
296	2.751965993
297	2.751965771
298	2.751938263
299	2.75193455
300	2.751924576
301	2.751702992
302	2.751685
303	2.751665565
304	2.751657426
305	2.751656379
306	2.751652541
307	2.751650041
308	2.751620105
309	2.751619789
310	2.751616627
311	2.751616307
312	2.751607141
313	2.751606966
314	2.751606947
315	2.75160673
316	2.751588194
317	2.751582135
318	2.75158011
319	2.75157981
320	2.751578599
321	2.751578218
322	2.751576526
323	2.751576448
324	2.751576433
325	2.751568771
326	2.751565543
327	2.751564812
328	2.751552002
329	2.751549593
330	2.751534747
331	2.75151946
332	2.751384713
333	2.751380658
334	2.751375418
335	2.751141345
336	2.751107332
337	2.751077915
338	2.751043908
339	2.751038645
340	2.751037954
341	2.751036978
342	2.750945386
343	2.750944859
344	2.750926216
345	2.750920073
346	2.750913533
347	2.75091349
348	2.750913367
349	2.750906072
350	2.750887305
351	2.750872497
352	2.750871964
353	2.750871461
354	2.750871234
355	2.750871184
356	2.750871044
357	2.750871043
358	2.750864725
359	2.750861407
360	2.750861388
361	2.750850729
362	2.750850688
363	2.750846724
364	2.750824777
365	2.750824611
366	2.750823231
367	2.750662507
368	2.750660148
369	2.75065893
370	2.750624887
371	2.750624132
372	2.749744562
373	2.749738578
374	2.749737956
375	2.749737871
376	2.749731926
377	2.749705667
378	2.749702299
379	2.749701985
380	2.749701774
381	2.74970103
382	2.749697018
383	2.749697013
384	2.749691569
385	2.749690119
386	2.749684533
387	2.749684424
388	2.749684419
389	2.749684369
390	2.749684253
391	2.749684205
392	2.749683643
393	2.749683603
394	2.749683572
395	2.749601769
396	2.749597657
397	2.749594872
398	2.749576256
399	2.749573778
400	2.749573622
401	2.749565606
402	2.7495583
403	2.749549
404	2.74954432
405	2.749520088
406	2.749464144
407	2.749463735
408	2.749462759
409	2.749462694
410	2.749462584
411	2.749462566
412	2.749462561
413	2.749460719
414	2.749459941
415	2.749449203
416	2.749356222
417	2.74934625
418	2.749342498
419	2.749342373
420	2.749326099
421	2.749319417
422	2.749307629
423	2.749306643
424	2.74906171
425	2.749043788
426	2.7490372
427	2.749022426
428	2.749021524
429	2.749021289
430	2.749015678
431	2.748687146
432	2.748682588
433	2.748657232
434	2.748647126
435	2.748643066
436	2.748628082
437	2.748626948
438	2.748626802
439	2.748626693
440	2.748626641
441	2.748625549
442	2.748625409
443	2.748625291
444	2.748560435
445	2.748553477
446	2.748550475
447	2.748534489
448	2.748534439
449	2.748531625
450	2.748531125
451	2.748529722
452	2.748525218
453	2.748483572
454	2.748481964
455	2.748481802
456	2.74848176
457	2.748481712
458	2.748481707
459	2.74848167
460	2.748481602
461	2.748474794
462	2.748473127
463	2.74847212
464	2.748471793
465	2.748471439
466	2.748471201
467	2.74846996
468	2.748390444
469	2.748374838
470	2.748373724
471	2.74837367
472	2.748361774
473	2.748360994
474	2.748359584
475	2.748355092
476	2.74835303
477	2.748350363
478	2.748350254
479	2.748350244
480	2.748350216
481	2.748349636
482	2.748348215
483	2.748343863
484	2.748343322
485	2.748339049
486	2.74833888
487	2.748338789
488	2.748327038
489	2.748300328
490	2.748293194
491	2.748287587
492	2.748276704
493	2.748274043
494	2.748272887
495	2.748272521
496	2.748272492
497	2.7482722
498	2.748269934
499	2.748259226
500	2.748256668
501	2.748256469
502	2.748144214
503	2.748142367
504	2.748140503
505	2.74814012
506	2.748133811
507	2.748119964
508	2.748119394
509	2.748118673
510	2.748117993
511	2.74809658
512	2.747961298
513	2.74795916
514	2.74795808
515	2.747956899
516	2.747955945
517	2.747955848
518	2.747955766
519	2.747955722
520	2.747955706
521	2.747932978
522	2.747931571
523	2.747927794
524	2.747927427
525	2.747927233
526	2.747926851
527	2.747925994
528	2.747925771
529	2.747925614
530	2.747925483
531	2.747923104
532	2.747914743
533	2.747904416
534	2.747900426
535	2.747899783
536	2.747885478
537	2.747885314
538	2.74788446
539	2.747884402
540	2.747884371
541	2.747842353
542	2.747758558
543	2.747756179
544	2.747754534
545	2.747746828
546	2.747746802
547	2.747746781
548	2.747746428
549	2.747729265
550	2.747729116
551	2.747728932
552	2.747727836
553	2.747726779
554	2.747725078
555	2.747725035
556	2.747725019
557	2.747698027
558	2.747695364
559	2.747695312
560	2.747694706
561	2.747694662
562	2.747694658
563	2.747684472
564	2.747677906
565	2.74767516
566	2.747629241
567	2.747625681
568	2.747624403
569	2.747488437
570	2.747486421
571	2.747486394
572	2.747483802
573	2.747483306
574	2.747483129
575	2.747483086
576	2.747477537
577	2.747477125
578	2.747476035
579	2.747463954
580	2.747463943
581	2.74746394
582	2.747463565
583	2.747463365
584	2.747463227
585	2.747463116
586	2.74744974
587	2.74744727
588	2.747447047
589	2.747446454
590	2.747446235
591	2.747442154
592	2.74744074
593	2.747438213
594	2.747438164
595	2.747437468
596	2.747423906
597	2.747423285
598	2.747422958
599	2.747422576
600	2.747422226
601	2.74742075
602	2.747397363
603	2.74739727
604	2.74739711
605	2.7473971
606	2.747392555
607	2.747392551
608	2.747381955
609	2.747381768
610	2.747381632
611	2.747381629
612	2.747381628
613	2.747381561
614	2.747380573
615	2.747380488
616	2.747380487
617	2.747380479
618	2.747380478
619	2.747380471
620	2.747380471
621	2.747380469
622	2.747380427
623	2.747380414
624	2.747380412
625	2.747380412
626	2.747380382
627	2.747380335
628	2.747367673
629	2.747359767
630	2.747356856
631	2.747356256
632	2.747307143
633	2.747305868
634	2.747300236
635	2.747295455
636	2.747022928
637	2.746996322
638	2.746989525
639	2.746989382
640	2.746989351
641	2.746983935
642	2.746982542
643	2.746981607
644	2.746020246
645	2.746019619
646	2.746005809
647	2.746005115
648	2.7460014
649	2.746000845
650	2.746000456
651	2.746000409
652	2.745999415
653	2.745999111
654	2.745999083
655	2.745997808
656	2.745997082
657	2.745964118
658	2.74596092
659	2.745960508
660	2.745958477
661	2.745957134
662	2.745956951
663	2.745953568
664	2.745885407
665	2.745884958
666	2.745884788
667	2.745884776
668	2.745883872
669	2.745883188
670	2.745881766
671	2.745881603
672	2.745881532
673	2.745881485
674	2.745881467
675	2.745881463
676	2.745881428
677	2.745881129
678	2.745881037
679	2.745881011
680	2.745880764
681	2.745880759
682	2.745872121
683	2.745859107
684	2.745843613
685	2.745841045
686	2.74583742
687	2.74583718
688	2.745837091
689	2.745835285
690	2.745835063
691	2.745809388
692	2.745807894
693	2.745792574
694	2.745792443
695	2.745792
696	2.745791862
697	2.745789934
698	2.745725382
699	2.745725288
700	2.74571827
701	2.745716905
702	2.745716066
703	2.745715851
704	2.745715833
705	2.745715824
706	2.7457073
707	2.745706074
708	2.745705934
709	2.745705751
710	2.745698595
711	2.745698342
712	2.7456981
713	2.745696974
714	2.745688289
715	2.745687277
716	2.745685625
717	2.745685175
718	2.745675196
719	2.745666395
720	2.745665151
721	2.745665018
722	2.745664574
723	2.745613412
724	2.745612782
725	2.745612776
726	2.745611108
727	2.745610734
728	2.74560684
729	2.745604468
730	2.745604441
731	2.745604416
732	2.745603912
733	2.745581527
734	2.745580426
735	2.745578025
736	2.745577652
737	2.745576994
738	2.745564902
739	2.745539216
740	2.745477602
741	2.745461657
742	2.745442766
743	2.745441996
744	2.745412008
745	2.745402233
